Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
0.0510926,0.998678,-2.03329e-05,0.999984,19.296,-0.478501,0,19.302,0.5,0,12,20.72,10.3376,0.400531,-0.087169,-0.000186751,0.409907,0,77,1
0.0458315,0.998934,-3.86953e-05,0.999985,19.3034,-0.478779,0,19.3093,0.5,0,12,13.3661,11.0263,0.448406,-0.0795034,-1.96701e-05,0.4554,0,78,1
0.0474043,0.99886,-0.000147957,0.999984,19.3009,-0.478688,0,19.3069,0.5,0,12,16.342,10.6816,0.432898,-0.0823503,-0.000121307,0.440661,0,79,1
0.0414881,0.999123,-3.48589e-05,0.999984,19.3083,-0.478952,0,19.3142,0.5,0,12,7.90604,11.8432,0.477182,-0.070563,-3.79931e-05,0.482371,0,80,1
0.0436604,0.999029,-0.000138478,0.999982,19.3058,-0.478865,0,19.3118,0.5,0,12,10.6431,11.4349,0.462794,-0.0750343,-7.63461e-05,0.468837,0,81,1
0.0353207,0.999359,-2.90358e-05,0.999983,19.3131,-0.479106,0,19.3191,0.5,0,12,4.20607,12.4525,0.504035,-0.0599717,-5.45702e-05,0.507591,0,82,1
0.0384048,0.999241,-0.000110183,0.999979,19.3107,-0.479029,0,19.3166,0.5,0,12,6.05695,12.148,0.490608,-0.0652683,-4.22206e-05,0.494931,0,83,1
0.0276243,0.999601,-2.17899e-05,0.999982,19.318,-0.479235,0,19.324,0.5,0,12,0.318455,12.9324,0.528975,-0.0478141,-6.93856e-05,0.531131,0,84,1
0.0314729,0.99948,-8.70316e-05,0.999975,19.3156,-0.479171,0,19.3215,0.5,0,12,2.26737,12.6925,0.516505,-0.053894,-2.49079e-05,0.519309,0,85,1
0.0184998,0.999811,-1.34704e-05,0.999982,19.3229,-0.479332,0,19.3289,0.5,0,12,-4.20425,13.2021,0.551754,-0.0341694,-8.37085e-05,0.552811,0,86,1
0.0230623,0.999706,-6.10196e-05,0.999972,19.3205,-0.479284,0,19.3264,0.5,0,12,-1.93544,13.0672,0.540365,-0.040993,-2.18458e-05,0.541917,0,87,1
0.00812256,0.999948,-4.25568e-06,0.999981,19.3278,-0.479389,0,19.3338,0.5,0,12,-9.60569,13.1904,0.571957,-0.0191287,-9.82101e-05,0.572276,0,88,1
0.0133114,0.99988,-3.23504e-05,0.999968,19.3254,-0.47936,0,19.3313,0.5,0,12,-6.89953,13.1962,0.561856,-0.0266505,-2.74727e-05,0.562487,0,89,1
-0.003252,0.999976,5.74556e-06,0.999981,19.3327,-0.4794,0,19.3386,0.5,0,12,-14.3889,12.8251,0.589111,-0.00281952,-0.000112634,0.589118,0,90,1
0.00243545,0.999962,-1.05868e-06,0.999965,19.3303,-0.479394,0,19.3362,0.5,0,12,-11.9946,13.0077,0.580534,-0.0109758,-4.23406e-05,0.580638,0,91,1
-0.0152954,0.999865,1.63657e-05,0.999982,19.3376,-0.479362,0,19.3435,0.5,0,12,-17.2164,12.0597,0.602704,0.0145259,-0.000125938,0.602879,0,92,1
-0.0092736,0.99992,3.23961e-05,0.999963,19.3351,-0.479381,0,19.3411,0.5,0,12,-15.8002,12.4423,0.595908,0.00585099,-6.62946e-05,0.595937,0,93,1
-0.0276082,0.999601,2.73159e-05,0.999982,19.3425,-0.479273,0,19.3484,0.5,0,12,-17.9638,10.8947,0.612201,0.0326284,-0.000137094,0.61307,0,94,1
-0.0214518,0.999733,6.76159e-05,0.999963,19.34,-0.479317,0,19.346,0.5,0,12,-17.5872,11.477,0.607453,0.0235741,-9.72989e-05,0.60791,0,95,1
-0.0397214,0.999194,3.82236e-05,0.999983,19.3474,-0.479135,0,19.3533,0.5,0,12,-18.1217,9.38251,0.617005,0.0512029,-0.000146404,0.619126,0,96,1
-0.0336649,0.999398,0.000104356,0.999964,19.3449,-0.479204,0,19.3509,0.5,0,12,-18.04,10.1384,0.614604,0.0419114,-0.000139924,0.616031,0,97,1
-0.0509125,0.998687,4.85689e-05,0.999984,19.3523,-0.478953,0,19.3582,0.5,0,12,-19.6121,7.51661,0.616334,0.0699122,-0.000153876,0.620287,0,98,1
-0.0453173,0.998941,0.000143746,0.999968,19.3498,-0.479044,0,19.3557,0.5,0,12,-18.866,8.44949,0.61667,0.0605523,-0.000196685,0.619636,0,99,1
-0.0606218,0.998147,5.74104e-05,0.999986,19.3571,-0.478734,0,19.3631,0.5,0,12,-16.882,5.25594,0.608908,0.0873071,-0.000158148,0.615135,0,100,1
-0.0557674,0.998417,0.000196636,0.999973,19.3547,-0.478844,0,19.3606,0.5,0,12,-18.248,6.38634,0.612622,0.0786044,-0.000293124,0.617644,0,101,1
-0.0712436,0.997446,6.71207e-05,0.999987,19.362,-0.478484,0,19.3679,0.5,0,12,1.54746,3.12275,0.593444,0.100849,-0.000158202,0.601952,0,102,1
-0.0659319,0.997796,0.000141181,0.999972,19.3596,-0.478609,0,19.3655,0.5,0,12,-7.66937,4.18913,0.601177,0.0940731,-0.000446638,0.608493,0,103,1
-0.086842,0.996207,8.14472e-05,0.999985,19.3669,-0.47819,0,19.3728,0.5,0,12,29.7601,1.7696,0.571123,0.11171,-0.000156157,0.581946,0,104,1
-0.0790417,0.996827,-4.01887e-05,0.999955,19.3645,-0.478337,0,19.3704,0.5,0,12,15.6464,2.4456,0.582286,0.106272,-0.000528936,0.591904,0,105,1
