Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,f,fs,l,l2,omega,u.x_0,u.x_1,u.x_2,u.x_Magnitude,vtkGhostType,Point ID,vtkValidPointMask
-0.0260132,0.999662,-0.000149052,1,8.6696,-0.413718,0,8.67946,0.5,0,10,1.80466,-6.83924,0.894858,-0.00218617,0.00240079,0.894864,0,94,1
-0.0261408,0.999658,-0.000167372,1,8.68921,-0.413206,0,8.69902,0.5,0,10,1.8725,-6.78745,0.900832,-0.00176515,0.00324086,0.90084,0,95,1
-0.0260629,0.99966,-0.000203044,1,8.70881,-0.412697,0,8.71859,0.5,0,10,1.95971,-6.72978,0.906782,-0.00130746,0.00400831,0.906791,0,96,1
-0.0260784,0.99966,-0.000261657,1,8.72842,-0.412192,0,8.73815,0.5,0,10,2.0689,-6.66526,0.912682,-0.000789284,0.00465139,0.912694,0,97,1
-0.026022,0.999661,-0.000345689,1,8.74803,-0.411686,0,8.75772,0.5,0,10,2.22257,-6.58499,0.918411,-0.00025683,0.00503003,0.918425,0,98,1
-0.0258589,0.999665,-0.000437215,1,8.76764,-0.411184,0,8.77728,0.5,0,10,2.38537,-6.49852,0.923967,0.000381262,0.00528018,0.923982,0,99,1
-0.0257099,0.999669,-0.000537358,1,8.78725,-0.410686,0,8.79684,0.5,0,10,2.55253,-6.4064,0.92931,0.00117101,0.00536664,0.929327,0,100,1
-0.0259754,0.999662,-0.000630138,1,8.80686,-0.410189,0,8.81641,0.5,0,10,2.57329,-6.34068,0.934615,0.00187524,0.00518236,0.934632,0,101,1
-0.026715,0.999643,-0.000714913,1,8.82647,-0.409683,0,8.83597,0.5,0,10,2.5104,-6.28941,0.940265,0.00214146,0.00478784,0.940279,0,102,1
-0.0283608,0.999597,-0.000787804,1,8.84608,-0.409156,0,8.85554,0.5,0,10,2.3494,-6.25368,0.94647,0.00179017,0.00412345,0.946481,0,103,1
-0.0303219,0.99954,-0.000819738,1,8.86569,-0.408587,0,8.8751,0.5,0,10,2.20251,-6.21451,0.953975,0.000861325,0.00290209,0.95398,0,104,1
-0.0320574,0.999486,-0.000823607,1,8.8853,-0.407984,0,8.89466,0.5,0,10,2.09117,-6.17085,0.962179,-0.000140551,0.00143056,0.96218,0,105,1
-0.034405,0.999408,-0.00079259,1,8.90491,-0.407345,0,8.91422,0.5,0,10,2.02664,-6.12146,0.971171,-0.00114669,-0.000319025,0.971172,0,106,1
-0.0368921,0.999319,-0.000722118,1,8.92452,-0.406647,0,8.93378,0.5,0,10,1.90904,-6.07014,0.980896,-0.00197735,-0.00191449,0.9809,0,107,1
-0.039082,0.999236,-0.000645109,1,8.94413,-0.405905,0,8.95333,0.5,0,10,1.7631,-6.01271,0.990991,-0.00279041,-0.0032591,0.991,0,108,1
-0.0419989,0.999117,-0.000564106,1,8.96374,-0.405112,0,8.97289,0.5,0,10,1.58669,-5.94829,1.00148,-0.00356827,-0.00427445,1.00149,0,109,1
-0.0450415,0.998985,-0.000518286,1,8.98335,-0.404242,0,8.99244,0.5,0,10,1.4647,-5.8699,1.01232,-0.00422816,-0.00471408,1.01234,0,110,1
-0.04765,0.998864,-0.000494276,1,9.00295,-0.403313,0,9.01198,0.5,0,10,1.36211,-5.78074,1.02356,-0.00484649,-0.00496517,1.02359,0,111,1
-0.0511677,0.99869,-0.000496133,1,9.02256,-0.402316,0,9.03153,0.5,0,10,1.27973,-5.68013,1.03525,-0.00540031,-0.00500652,1.03528,0,112,1
-0.0548529,0.998494,-0.00052057,1,9.04217,-0.401213,0,9.05107,0.5,0,10,1.22338,-5.56617,1.04758,-0.00578001,-0.00488293,1.04761,0,113,1
-0.057908,0.998322,-0.000539335,1,9.06178,-0.400025,0,9.07061,0.5,0,10,1.17854,-5.44499,1.06059,-0.00610844,-0.00472837,1.06062,0,114,1
-0.0579882,0.998317,-0.000539548,1,9.06217,-0.4,0,9.07099,0.5,0,10,1.17792,-5.44254,1.06086,-0.00611331,-0.00472471,1.06088,0,115,1
0.875541,0.479045,0.0627984,1,6.90476,-0.394648,0,6.91603,0.5,0,10,5.55793,1.84482,1.39074,0.218067,-0.0367948,1.40821,0,116,1
0.885123,0.451646,0.112125,1,6.89747,-0.38,0,6.90793,0.5,0,10,-1.76747,6.53698,1.42336,0.122077,-0.00524691,1.42859,0,117,1
-0.0621587,0.998066,-0.000551355,1,9.08139,-0.398949,0,9.09015,0.5,0,10,1.13998,-5.34262,1.06857,-0.00572795,-0.00448557,1.06859,0,118,1
-0.0664253,0.997791,-0.000519887,1,9.101,-0.39781,0,9.10969,0.5,0,10,1.1273,-5.23737,1.07676,-0.00545215,-0.00419302,1.07678,0,119,1
